code,symbol,name,industry
506079,LAKPRE,Lakshmi Precision Screws Ltd,
506105,STANROS,Stanrose Mafatlal Investments & Finance Ltd,
506109,GENESYS,Genesys International Corporation Ltd,
506120,ALNATRD,Alna Trading & Exports Ltd,
506122,VOLKAI,Kairosoft AI Solutions Ltd,
506128,PARNAXLAB,Parnax Lab Ltd,
506134,GOURMET,Gourmet Gateway India Ltd,
506146,VIVIDHA,Visagar Polytex Ltd,
506161,ISHWATR,Ishwarshakti Holdings & Traders Ltd,
506162,TERRAFORM,Terraform Magnum Ltd,
506166,APIS,Apis India Ltd,
506178,VELOX,Velox Shipping and Logistics Ltd,
506180,EMERGENT,Emergent Industrial Solutions Ltd,
506184,KANANIIND,Kanani Industries Ltd,
506186,GSLTD,Galaxy Supermarket Ltd-$,
506190,ZSARVAMA,Sarvamangal Mercantile Company Ltd,
506194,ARIHANTSUP,Arihant Superstructures Ltd,
506196,VIKSHEN,Viksit Engineering Ltd,
506197,BLISSGVS,Bliss GVS Pharma Ltd,
506222,STYRENIX,Styrenix Performance Materials Ltd,
506235,ALEMBICLTD,Alembic Ltd,
506248,AMNPLST,Amines & Plasticizers Ltd,
506260,ANUHPHR,Anuh Pharma Ltd,
506261,MODISONLTD,Modison Ltd-$,
506285,BAYERCROP,Bayer CropScience Ltd,
506365,STARSOURCE,Star Source Multi Trade Ltd,
506390,SUDARCOLOR,Sudarshan Colorants India Ltd,
506395,COROMANDEL,Coromandel International Ltd,
506401,DEEPAKNTR,Deepak Nitrite Ltd-$,
506405,DMCC,DMCC Speciality Chemicals Ltd,
506414,FERMENTA,Fermenta Biotech Ltd,
506480,GOCLCORP,GOCL Corporation Ltd-$,
506520,JAYCH,Jayshree Chemicals Ltd,
506525,KANORICHEM,Kanoria Chemicals & Industries Ltd,
506528,KELENRG,KELTECH Energies Ltd,
506530,KEMP,Kemp & Company Ltd,
506532,NITTAGELA,Nitta Gelatin India Ltd-$,
506543,MPAGI,MP Agro Industries Ltd,
506579,AGVENTURES,AG Ventures Ltd-$,
506580,PBGLOBAL,PB Global Ltd,
506590,PCBL,PCBL Chemical Ltd,
506597,AMAL,Amal Ltd,
506605,POLYCHEM,Polychem Ltd,
506618,PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd-$,
506640,ZR2,ZR2 Bioenergy Ltd,
506642,SADHNANIQ,Sadhana Nitro Chem Ltd,
506655,SUDARSCHEM,Sudarshan Chemical Industries Ltd,
506680,TECILCHEM,Tecil Chemicals & Hydro Power Ltd,
506685,ULTRAMAR,Ultramarine & Pigments Ltd-$,
506687,TRANSPEK,Transpek Industry Ltd-$,
506690,UNICHEMLAB,Unichem Laboratories Ltd,
506734,MYSORPETRO,Mysore Petro Chemicals Ltd-$,
506767,ALKYLAMINE,Alkyl Amines Chemicals Ltd-$,
506808,TUTIALKA,Tuticorin Alkali Chemicals And Fertilizers Ltd,
506820,ASTRAZEN,AstraZeneca Pharma India Ltd,
506852,PRIMO,Primo Chemicals Ltd,
506854,TANFACIND,TANFAC Industries Ltd-$,
506858,GUJPETR,Gujarat Petrosynthese Ltd,
